Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
group 1 5.5m,,,481047.616,4400240.435,1741.649,,-105.22123086,39.75186306,1741.649,Global,0.2,0.012,0.012,0.012,0.017,2.134,m,FIX,RTK,2025-10-02 14:18:46.2 UTC-06:00,2025-10-02 14:18:51.2 UTC-06:00,26,1.1,1.3,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,61.642,,WGS 84 / UTM zone 13N,8,7,8,5,0,Reach RS3,82437308B6C6AD5B
group 1 5m,,,481047.215,4400240.141,1741.646,,-105.22123552,39.75186041,1741.646,Global,0.3,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:19:24.0 UTC-06:00,2025-10-02 14:19:29.0 UTC-06:00,26,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,61.327,,WGS 84 / UTM zone 13N,9,8,8,5,0,Reach RS3,82437308B6C6AD5B
group 1 4.5m,,,481046.809,4400239.855,1741.684,,-105.22124026,39.75185783,1741.684,Global,0.3,0.012,0.012,0.012,0.017,2.134,m,FIX,RTK,2025-10-02 14:20:03.6 UTC-06:00,2025-10-02 14:20:08.6 UTC-06:00,26,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,61.015,,WGS 84 / UTM zone 13N,8,7,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 4m,,,481046.403,4400239.561,1741.701,,-105.22124499,39.75185517,1741.701,Global,0.3,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:20:29.6 UTC-06:00,2025-10-02 14:20:34.6 UTC-06:00,26,1.1,1.3,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,60.696,,WGS 84 / UTM zone 13N,8,7,8,5,0,Reach RS3,82437308B6C6AD5B
group 1 3.5m,,,481045.995,4400239.269,1741.697,,-105.22124974,39.75185253,1741.697,Global,0.1,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:20:54.8 UTC-06:00,2025-10-02 14:20:59.8 UTC-06:00,26,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,60.386,,WGS 84 / UTM zone 13N,8,6,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 3m,,,481045.598,4400238.980,1741.713,,-105.22125437,39.75184991,1741.713,Global,0.3,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:21:46.6 UTC-06:00,2025-10-02 14:21:51.6 UTC-06:00,26,1.2,1.3,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,60.089,,WGS 84 / UTM zone 13N,7,7,8,5,0,Reach RS3,82437308B6C6AD5B
group 1 2.75m,,,481045.397,4400238.829,1741.734,,-105.22125671,39.75184855,1741.734,Global,0.2,0.012,0.013,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:22:33.8 UTC-06:00,2025-10-02 14:22:38.8 UTC-06:00,26,1.1,1.3,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,59.934,,WGS 84 / UTM zone 13N,7,6,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 2.5m,,,481045.198,4400238.685,1741.716,,-105.22125903,39.75184724,1741.716,Global,0.2,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:23:01.4 UTC-06:00,2025-10-02 14:23:06.4 UTC-06:00,26,1.1,1.3,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,59.778,,WGS 84 / UTM zone 13N,8,7,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 2.25m,,,481044.997,4400238.524,1741.727,,-105.22126137,39.75184579,1741.727,Global,0.2,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:23:40.6 UTC-06:00,2025-10-02 14:23:45.6 UTC-06:00,26,1.1,1.3,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,59.614,,WGS 84 / UTM zone 13N,8,6,8,5,0,Reach RS3,82437308B6C6AD5B
group 1 2m,,,481044.794,4400238.382,1741.741,,-105.22126373,39.75184451,1741.741,Global,0.1,0.012,0.012,0.012,0.017,2.134,m,FIX,RTK,2025-10-02 14:24:29.4 UTC-06:00,2025-10-02 14:24:34.4 UTC-06:00,26,1.1,1.3,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,59.462,,WGS 84 / UTM zone 13N,8,6,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 1.75m,,,481044.596,4400238.217,1741.756,,-105.22126604,39.75184301,1741.756,Global,0.0,0.012,0.012,0.012,0.017,2.134,m,FIX,RTK,2025-10-02 14:25:12.2 UTC-06:00,2025-10-02 14:25:17.2 UTC-06:00,26,1.1,1.3,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,59.287,,WGS 84 / UTM zone 13N,7,6,8,5,0,Reach RS3,82437308B6C6AD5B
group 1 1.5m,,,481044.393,4400238.076,1741.738,,-105.22126840,39.75184174,1741.738,Global,0.1,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:25:44.6 UTC-06:00,2025-10-02 14:25:49.6 UTC-06:00,26,1.1,1.3,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,59.152,,WGS 84 / UTM zone 13N,9,6,8,5,0,Reach RS3,82437308B6C6AD5B
group 1 1.25m,,,481044.185,4400237.946,1741.742,,-105.22127083,39.75184056,1741.742,Global,0.2,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:26:16.4 UTC-06:00,2025-10-02 14:26:21.4 UTC-06:00,26,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,59.019,,WGS 84 / UTM zone 13N,9,6,8,5,0,Reach RS3,82437308B6C6AD5B
group 1 1m,,,481043.985,4400237.788,1741.777,,-105.22127316,39.75183913,1741.777,Global,0.3,0.012,0.012,0.011,0.018,2.134,m,FIX,RTK,2025-10-02 14:27:23.0 UTC-06:00,2025-10-02 14:27:28.0 UTC-06:00,26,1.1,1.2,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,58.856,,WGS 84 / UTM zone 13N,7,7,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 0.75m,,,481043.791,4400237.637,1741.781,,-105.22127542,39.75183777,1741.781,Global,0.2,0.012,0.012,0.013,0.017,2.134,m,FIX,RTK,2025-10-02 14:28:04.2 UTC-06:00,2025-10-02 14:28:09.2 UTC-06:00,26,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,58.705,,WGS 84 / UTM zone 13N,8,7,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 0.5m,,,481043.584,4400237.483,1741.762,,-105.22127784,39.75183638,1741.762,Global,0.2,0.012,0.012,0.012,0.017,2.134,m,FIX,RTK,2025-10-02 14:28:33.4 UTC-06:00,2025-10-02 14:28:38.4 UTC-06:00,26,1.1,1.3,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,58.557,,WGS 84 / UTM zone 13N,8,7,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 0.25m,,,481043.378,4400237.337,1741.764,,-105.22128023,39.75183506,1741.764,Global,0.0,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:29:11.8 UTC-06:00,2025-10-02 14:29:16.8 UTC-06:00,26,1.1,1.3,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,58.401,,WGS 84 / UTM zone 13N,9,7,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 origin,,,481043.204,4400237.197,1741.775,,-105.22128226,39.75183379,1741.775,Global,0.3,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:29:55.8 UTC-06:00,2025-10-02 14:30:00.8 UTC-06:00,26,1.1,1.3,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,58.268,,WGS 84 / UTM zone 13N,9,7,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 -0.25m,,,481043.013,4400237.034,1741.773,,-105.22128449,39.75183232,1741.773,Global,0.3,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:30:45.2 UTC-06:00,2025-10-02 14:30:50.2 UTC-06:00,26,1.1,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,58.107,,WGS 84 / UTM zone 13N,8,7,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 -0.5m,,,481042.806,4400236.895,1741.774,,-105.22128689,39.75183106,1741.774,Global,0.2,0.012,0.013,0.012,0.018,2.134,m,FIX,RTK,2025-10-02 14:31:22.0 UTC-06:00,2025-10-02 14:31:27.0 UTC-06:00,26,1.1,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,57.971,,WGS 84 / UTM zone 13N,9,7,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 -0.75m,,,481042.608,4400236.751,1741.770,,-105.22128920,39.75182977,1741.770,Global,0.5,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:32:33.0 UTC-06:00,2025-10-02 14:32:38.0 UTC-06:00,26,1.1,1.3,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,57.835,,WGS 84 / UTM zone 13N,9,6,8,5,0,Reach RS3,82437308B6C6AD5B
group 1 -1m,,,481042.405,4400236.598,1741.799,,-105.22129157,39.75182838,1741.799,Global,0.2,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:34:48.4 UTC-06:00,2025-10-02 14:34:53.4 UTC-06:00,26,1.1,1.3,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,57.675,,WGS 84 / UTM zone 13N,7,7,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 -1.25m,,,481042.190,4400236.472,1741.816,,-105.22129408,39.75182724,1741.816,Global,0.2,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:35:25.6 UTC-06:00,2025-10-02 14:35:30.6 UTC-06:00,26,1.1,1.3,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,57.554,,WGS 84 / UTM zone 13N,9,6,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 -1.5m,,,481041.997,4400236.314,1741.801,,-105.22129633,39.75182581,1741.801,Global,0.4,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:35:55.0 UTC-06:00,2025-10-02 14:36:00.0 UTC-06:00,26,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,57.408,,WGS 84 / UTM zone 13N,7,6,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 -1.75m,,,481041.796,4400236.175,1741.838,,-105.22129866,39.75182456,1741.838,Global,0.2,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:36:31.2 UTC-06:00,2025-10-02 14:36:36.2 UTC-06:00,26,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,57.277,,WGS 84 / UTM zone 13N,8,7,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 -2m,,,481041.596,4400236.038,1741.814,,-105.22130100,39.75182331,1741.814,Global,0.2,0.013,0.012,0.015,0.018,2.134,m,FIX,RTK,2025-10-02 14:37:13.8 UTC-06:00,2025-10-02 14:37:18.8 UTC-06:00,26,1.1,1.3,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,57.137,,WGS 84 / UTM zone 13N,8,7,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 -2.25m,,,481041.380,4400235.893,1741.800,,-105.22130351,39.75182200,1741.800,Global,0.3,0.012,0.012,0.014,0.017,2.134,m,FIX,RTK,2025-10-02 14:37:44.4 UTC-06:00,2025-10-02 14:37:49.4 UTC-06:00,26,1.1,1.3,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,57.002,,WGS 84 / UTM zone 13N,8,7,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 -2.5m,,,481041.174,4400235.722,1741.822,,-105.22130592,39.75182046,1741.822,Global,0.2,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-02 14:39:36.2 UTC-06:00,2025-10-02 14:39:41.2 UTC-06:00,26,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,56.837,,WGS 84 / UTM zone 13N,8,7,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 -2.75m,,,481040.984,4400235.588,1741.818,,-105.22130813,39.75181924,1741.818,Global,0.3,0.012,0.012,0.012,0.017,2.134,m,FIX,RTK,2025-10-02 14:40:12.2 UTC-06:00,2025-10-02 14:40:17.2 UTC-06:00,26,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,56.720,,WGS 84 / UTM zone 13N,8,7,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 -3m,,,481040.756,4400235.450,1741.806,,-105.22131078,39.75181800,1741.806,Global,0.3,0.012,0.012,0.012,0.017,2.134,m,FIX,RTK,2025-10-02 14:40:41.2 UTC-06:00,2025-10-02 14:40:46.2 UTC-06:00,26,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,56.590,,WGS 84 / UTM zone 13N,8,7,8,5,0,Reach RS3,82437308B6C6AD5B
group 1 -3.5m,,,481040.358,4400235.152,1741.806,,-105.22131542,39.75181531,1741.806,Global,0.3,0.012,0.012,0.017,0.017,2.134,m,FIX,RTK,2025-10-02 14:41:22.2 UTC-06:00,2025-10-02 14:41:27.2 UTC-06:00,26,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,56.303,,WGS 84 / UTM zone 13N,8,6,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 -4m,,,481039.936,4400234.864,1741.800,,-105.22132034,39.75181270,1741.800,Global,0.1,0.012,0.012,0.012,0.017,2.134,m,FIX,RTK,2025-10-02 14:42:08.2 UTC-06:00,2025-10-02 14:42:13.2 UTC-06:00,26,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,56.037,,WGS 84 / UTM zone 13N,8,7,8,5,0,Reach RS3,82437308B6C6AD5B
group 1 -4.5m,,,481039.530,4400234.589,1741.800,,-105.22132507,39.75181021,1741.800,Global,0.3,0.012,0.012,0.015,0.017,2.134,m,FIX,RTK,2025-10-02 14:45:29.0 UTC-06:00,2025-10-02 14:45:34.0 UTC-06:00,26,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,55.790,,WGS 84 / UTM zone 13N,7,6,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 -5m,,,481039.126,4400234.319,1741.803,,-105.22132978,39.75180777,1741.803,Global,0.2,0.012,0.012,0.018,0.017,2.134,m,FIX,RTK,2025-10-02 14:46:10.6 UTC-06:00,2025-10-02 14:46:15.6 UTC-06:00,26,1.3,1.6,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,55.544,,WGS 84 / UTM zone 13N,8,6,8,5,0,Reach RS3,82437308B6C6AD5B
group 1 -5.5m,,,481038.715,4400234.025,1741.787,,-105.22133457,39.75180512,1741.787,Global,0.4,0.012,0.012,0.012,0.017,2.134,m,FIX,RTK,2025-10-02 14:47:00.2 UTC-06:00,2025-10-02 14:47:05.2 UTC-06:00,26,1.3,1.6,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,55.282,,WGS 84 / UTM zone 13N,8,6,8,5,0,Reach RS3,82437308B6C6AD5B
group 1 -6m,,,481038.331,4400233.716,1741.779,,-105.22133904,39.75180232,1741.779,Global,0.2,0.012,0.013,0.020,0.018,2.134,m,FIX,RTK,2025-10-02 14:47:42.8 UTC-06:00,2025-10-02 14:47:47.8 UTC-06:00,26,1.3,1.6,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,55.005,,WGS 84 / UTM zone 13N,8,7,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 -7m,,,481037.536,4400233.114,1741.741,,-105.22134830,39.75179688,1741.741,Global,0.2,0.012,0.012,0.019,0.017,2.134,m,FIX,RTK,2025-10-02 14:48:26.6 UTC-06:00,2025-10-02 14:48:31.6 UTC-06:00,26,1.2,1.5,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,54.497,,WGS 84 / UTM zone 13N,8,6,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 -8m,,,481036.681,4400232.602,1741.748,,-105.22135827,39.75179224,1741.748,Global,0.2,0.012,0.012,0.026,0.017,2.134,m,FIX,RTK,2025-10-02 14:49:19.8 UTC-06:00,2025-10-02 14:49:24.8 UTC-06:00,26,1.3,1.5,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,54.094,,WGS 84 / UTM zone 13N,8,6,9,5,0,Reach RS3,82437308B6C6AD5B
group 1 -9m,,,481035.872,4400232.027,1741.870,,-105.22136770,39.75178705,1741.870,Global,0.1,0.012,0.012,0.018,0.017,2.134,m,FIX,RTK,2025-10-02 14:50:08.0 UTC-06:00,2025-10-02 14:50:13.0 UTC-06:00,26,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,53.636,,WGS 84 / UTM zone 13N,8,6,8,5,0,Reach RS3,82437308B6C6AD5B
